epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,2565.64,0.89132,0.60984,1.11409,0.97033,0.95469,0.9875,0.82931,0.3355,0.86119,0.50125,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,2627.12,0.88951,0.61389,1.12042,0.95925,0.96151,0.98667,0.83034,0.33457,0.66949,0.5019,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,2688.38,0.87075,0.59416,1.1066,0.97298,0.95629,0.98686,0.83317,0.32036,0.7332,0.49429,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,2750.92,0.87839,0.59963,1.10844,0.96861,0.95532,0.98645,0.83436,0.32807,0.74204,0.49845,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,2812.98,0.87338,0.59301,1.112,0.97473,0.95674,0.98786,0.83914,0.31374,0.62745,0.49043,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,2875.67,0.86847,0.58876,1.10686,0.97351,0.95527,0.98679,0.83832,0.3165,0.68745,0.49125,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,2937.89,0.85131,0.58421,1.09275,0.96981,0.96343,0.98853,0.84457,0.30511,0.65935,0.48366,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,3000.19,0.85158,0.58446,1.10001,0.98024,0.96164,0.98946,0.84437,0.31031,0.50113,0.48749,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,3062.31,0.84853,0.58075,1.09434,0.9823,0.96253,0.98982,0.84557,0.30781,0.49039,0.48441,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,3124.47,0.84716,0.57319,1.08784,0.98402,0.96442,0.99024,0.84647,0.30583,0.48929,0.48287,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,3187.18,0.83887,0.56991,1.08908,0.97463,0.96017,0.98963,0.84782,0.30774,0.57674,0.48273,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,3249.42,0.84836,0.57956,1.09277,0.98056,0.95361,0.98955,0.85008,0.30395,0.64679,0.48053,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,3311.47,0.84661,0.57791,1.09972,0.97774,0.96253,0.99041,0.85096,0.30297,0.68971,0.48007,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,3373.63,0.83737,0.56478,1.08837,0.98421,0.95886,0.99033,0.85714,0.29496,0.64866,0.47681,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,3435.6,0.83105,0.56613,1.08951,0.98005,0.96298,0.99043,0.85799,0.29532,0.67182,0.47631,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,3497.5,0.82465,0.56389,1.08495,0.98251,0.95963,0.99056,0.85662,0.29423,0.60391,0.47701,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,3558.63,0.83325,0.56543,1.08554,0.98314,0.95913,0.9908,0.85943,0.2938,0.62648,0.47682,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,3621.49,0.82121,0.55258,1.07945,0.98398,0.9612,0.99091,0.86163,0.29093,0.53079,0.47459,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,3683.52,0.81381,0.55949,1.07639,0.98433,0.96541,0.99127,0.86354,0.28469,0.49977,0.47121,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,3745.66,0.82168,0.56184,1.07482,0.98565,0.96492,0.99158,0.86599,0.27889,0.46641,0.46867,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,3807.8,0.80355,0.53532,1.06823,0.98277,0.96447,0.99145,0.86523,0.27537,0.51497,0.4661,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,3869.99,0.81161,0.53804,1.07336,0.98229,0.96463,0.99074,0.86654,0.27185,0.57457,0.46413,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,3932.23,0.80386,0.53928,1.06543,0.98494,0.96209,0.9908,0.86906,0.27198,0.65372,0.46353,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,3994.75,0.7949,0.53076,1.06554,0.98634,0.96449,0.99113,0.86918,0.26986,0.61558,0.46214,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,4057.03,0.79649,0.53473,1.06173,0.98332,0.96878,0.99131,0.87225,0.26743,0.58449,0.46014,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,4119.36,0.78018,0.5172,1.05167,0.98154,0.96719,0.99161,0.87275,0.2639,0.55046,0.45842,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,4181.79,0.79208,0.53174,1.06667,0.97636,0.97318,0.99174,0.87516,0.26263,0.53005,0.45772,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,4244.35,0.78823,0.52197,1.06114,0.98027,0.97547,0.99195,0.876,0.26086,0.533,0.45651,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,4306.76,0.77376,0.51687,1.056,0.97983,0.97591,0.99202,0.87696,0.25823,0.52905,0.4551,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,4369.44,0.78111,0.52437,1.05699,0.97908,0.97904,0.99232,0.8792,0.25787,0.51575,0.45482,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,4432.17,0.77474,0.51865,1.05512,0.97632,0.98145,0.9923,0.87844,0.25738,0.5099,0.45423,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,4494.9,0.76688,0.5184,1.04465,0.98047,0.97547,0.99239,0.87963,0.25688,0.48846,0.45395,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,4557.59,0.7638,0.50384,1.04555,0.98097,0.97591,0.99233,0.87992,0.25581,0.49312,0.45353,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,4620.26,0.75804,0.50783,1.04574,0.98129,0.9757,0.99225,0.88049,0.2555,0.50067,0.45341,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,4683.14,0.76089,0.50946,1.04819,0.98051,0.97725,0.99218,0.88034,0.25462,0.51489,0.45271,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,4745.19,0.75642,0.50918,1.04436,0.98123,0.9777,0.99223,0.88063,0.25388,0.51633,0.45241,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,4806.69,0.74981,0.49783,1.03992,0.98229,0.9777,0.9923,0.88118,0.25292,0.49618,0.45169,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,4869.34,0.74636,0.50408,1.0424,0.98143,0.97785,0.99233,0.88217,0.25197,0.49079,0.45106,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
